Sample,Period,RC,QR,CS,EP,WC,Average
1,2018 - I,2.3333,0.3333,2.3333,0.7778,1.2500,1.4056
2,2018 - I,1.6667,2.6667,1.0000,1.6667,1.2500,1.6500
3,2018 - I,3.3333,3.0000,3.3333,2.2222,1.2500,2.6278
4,2018 - I,1.6667,2.0000,2.3333,2.8889,5.0000,2.7778
5,2018 - I,1.0000,2.3333,0.3333,2.3333,1.2500,1.4500
6,2018 - I,1.6667,2.0000,1.0000,1.5556,1.2500,1.4944
7,2018 - I,1.0000,2.6667,1.3333,1.7778,1.2500,1.6056
8,2018 - I,2.3333,2.0000,2.0000,1.8889,0.0000,1.6444
9,2018 - I,2.3333,2.0000,1.6667,1.2222,1.2500,1.6944
10,2018 - I,1.3333,2.3333,2.0000,2.0000,1.2500,1.7833
11,2018 - I,1.3333,2.0000,2.0000,1.2222,2.5000,1.8111
12,2018 - I,2.0000,2.0000,2.0000,2.0000,1.2500,1.8500
13,2018 - I,2.3333,2.3333,1.6667,1.6667,1.2500,1.8500
14,2018 - I,1.3333,2.3333,2.0000,2.3333,1.2500,1.8500
15,2018 - I,1.6667,2.3333,1.3333,1.5556,2.5000,1.8778
16,2018 - I,2.0000,2.6667,2.3333,1.2222,1.2500,1.8944
17,2018 - I,1.6667,2.6667,2.6667,1.4444,1.2500,1.9389
18,2018 - I,2.6667,3.0000,2.0000,2.1111,0.0000,1.9556
19,2018 - I,2.6667,2.0000,2.3333,1.5556,1.2500,1.9611
20,2018 - I,3.0000,2.6667,2.3333,1.8889,0.0000,1.9778
21,2018 - I,2.6667,2.0000,1.6667,2.3333,1.2500,1.9833
22,2018 - I,2.0000,2.6667,2.3333,1.6667,1.2500,1.9833
23,2018 - I,2.6667,3.0000,2.0000,1.3333,1.2500,2.0500
24,2018 - I,2.6667,2.0000,3.0000,1.3333,1.2500,2.0500
25,2018 - I,2.6667,2.0000,2.0000,2.4444,1.2500,2.0722
26,2018 - I,2.3333,3.0000,1.6667,2.1111,1.2500,2.0722
27,2018 - I,2.0000,2.3333,2.6667,2.2222,1.2500,2.0944
28,2018 - I,2.0000,2.3333,2.3333,2.5556,1.2500,2.0944
29,2018 - I,2.6667,2.3333,2.3333,1.8889,1.2500,2.0944
